@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
5851845545;node;45.7645529;9.2055831;11566;Q8;Q8;Servizi & Gestioni Italia Srl;11566;Metano;1.389;0;08/08/2025 01:33:47;Yellow
5851845609;node;45.6111900;8.9400210;11118;Agip Eni;;Vele S.A.S. di Verduci Antonino & Cc;11118;Metano;1.349;0;07/08/2025 07:22:11;Yellow
5853343007;node;44.8052510;10.8785370;8413;;;A.B. Metano S.R.L.;8413;Metano;1.169;0;04/08/2025 13:58:53;Green
5853343034;node;37.5265240;14.8478400;49160;Pompe Bianche;Melfa's;Meic Services spa;49160;Metano;1.459;0;06/08/2025 09:11:47;Orange
5853343038;node;45.5404235;9.6396232;5266;;MPM;Mpm Service S.R.L.;5266;Metano;1.295;0;06/08/2025 14:50:50;Green
5853343043;node;45.3529478;9.0707266;4984;;;Procogen S.R.L.;4984;Metano;1.448;0;06/08/2025 09:53:46;Orange
5853343045;node;41.7148551;15.3907835;4553;;;Metano Puglia di Cardinali Mauro;4553;Metano;1.299;0;02/08/2025 08:16:30;Green
5853343048;node;41.0170391;14.3680051;4387;Ecos;Eco Energy;Eco Energy S.R.L.;4387;Metano;1.266;0;04/08/2025 19:43:03;Green
5853343052;node;41.2445983;16.2882486;41226;;Fucci fuel;Carmen S.N.C. Dei F.lli Fucci di Fucci L.;41226;Metano;1.299;1;04/08/2025 08:25:39;Green
5853343162;node;43.2589442;11.8188684;39662;;;Olivi S.p.A.;39662;Metano;1.559;0;07/08/2025 08:22:15;Red
5853343168;node;45.3722903;11.8875745;39569;BC;Berica Carburanti;Energia S.p.A.;39569;Metano;1.289;0;08/08/2025 00:24:20;Green
5853343360;node;38.9086579;16.4181785;32663;;Devengas carburanti;Devengas S.R.L.;32663;Metano;1.4;0;04/08/2025 09:06:22;Orange
5853343413;node;43.9892160;11.2280108;38452;CPM;CPM;Impianti Italia S.R.L.;38452;Metano;1.499;0;05/08/2025 10:18:21;Orange
5853343426;node;37.9783152;13.6866036;38154;;;Carburcat di Gatto Giuseppe S.A.S.;38154;Metano;1.799;0;05/08/2025 12:01:51;Red
5853343441;node;40.6392527;16.7766352;37736;;;Digiservice Società a Responsabilità Limitata;37736;Metano;1.549;0;08/08/2025 00:13:18;Red
5853343457;node;44.6874191;8.0102637;59885;;;Erretre S.R.L.;59885;Metano;1.699;0;04/08/2025 10:56:13;Red
5853343477;node;45.7335797;9.9078047;36913;;;Martina 77 S.R.L.;36913;Metano;1.299;1;05/08/2025 16:35:33;Green
5853343484;node;40.8704065;14.5281442;36706;;;Vesuvio Petroli S.R.L.;36706;Metano;1.295;0;07/08/2025 17:20:49;Green
5853343489;node;41.7626893;15.2247602;36629;;;Metano Puglia di Cardinali Mauro;36629;Metano;1.299;0;02/08/2025 08:16:36;Green
5853343492;node;44.5741808;12.1008021;36602;;;Cervi Nicolas;36602;Metano;1.444;0;05/08/2025 17:03:28;Orange
5853343549;node;40.9522134;14.5932482;35548;;;Ercolino S.R.L.;35548;Metano;1.429;0;02/08/2025 06:06:51;Orange
5853343572;node;45.8829612;9.9606273;35106;;;Scandella Andrea S.R.L.;35106;Metano;1.399;0;07/08/2025 07:37:24;Yellow
5853343573;node;44.4714653;9.7347812;35094;;;Contini Petroli S.R.L.;35094;Metano;1.409;0;01/08/2025 08:39:51;Orange
5853343579;node;40.1523110;18.0632313;34973;;SoGeCarb;Tundo Petrol Station - Società Cooperativa;34973;Metano;1.599;0;04/08/2025 08:05:02;Red
5853343795;node;44.8700574;8.8590027;49359;;;Rome Oil S.R.L.;49359;Metano;1.137;0;08/08/2025 08:07:14;Green
