@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
227957347;node;45.3034190;8.8702135;33228;;;M.T.M.Di Magnani Daniele & C.S.N.C;33228;Benzina;1.629;1;30/07/2025 07:39:36;Green
227957356;node;45.1619318;8.9457232;32241;Agip Eni;Agip;Stazione di Servizio Agip F.lli Lodola S.N.C.;32241;Benzina;1.739;1;02/08/2025 08:02:18;Green
227969643;node;45.1647450;8.7912205;35663;Q8;Q8;Mattia Scabeni;35663;Benzina;1.729;1;31/07/2025 07:48:43;Green
227984129;node;45.2490140;8.7211280;36367;Tamoil;Tamoil;T.D.M. S.R.L.;36367;Benzina;1.649;1;01/08/2025 11:42:07;Green
228037522;node;45.1811370;8.5973600;34184;Giap;Giap;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;34184;Benzina;1.739;1;02/08/2025 06:00:59;Green
228042275;node;45.2895310;8.5845280;48106;Api;Api;Ghibriali Marco Nardino;48106;Benzina;1.739;1;29/07/2025 17:02:31;Green
228063835;node;45.3156069;8.8635510;51483;Retitalia;;Di Palma Carlo;51483;Benzina;1.699;1;30/07/2025 08:19:37;Green
228098879;node;45.3247280;8.8748360;17691;IP;IP;Ip Services S.R.L.;17691;Benzina;1.679;1;01/08/2025 09:03:50;Green
228111636;node;45.3136192;9.2064137;14693;Eni;Eni;Servizio Sicuro S.N.C. di Samarati Stefano e Scaglioni Giancarlo;14693;Benzina;1.679;1;02/08/2025 07:12:09;Green
228111813;node;45.2803490;9.2120260;21857;IP;IP;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;21857;Benzina;1.728;1;02/08/2025 06:01:00;Green
228111965;node;45.2337170;9.1833328;21401;Esso;Esso;Damiani Anita;21401;Benzina;1.739;1;30/07/2025 18:10:32;Green
228114325;node;45.0674782;9.3291820;28396;Tamoil;Tamoil;T.D.M. S.R.L.;28396;Benzina;1.699;1;01/08/2025 11:48:14;Green
228177068;node;45.2552750;9.2331460;12780;Tamoil;Tamoil;Bonizzoni Pietro Giuseppe;12780;Benzina;1.689;1;30/07/2025 12:02:08;Green
228244699;node;45.1599019;9.3984749;9302;Tamoil;Tamoil;Rizzi Pierluigi;9302;Benzina;1.649;1;02/08/2025 07:28:05;Green
229104711;node;45.3219086;8.8726601;6456;Q8;Q8;Servizi & Gestioni Italia Srl;6456;Benzina;1.659;1;30/07/2025 01:05:30;Green
229104715;node;45.3012596;8.8626389;23012;Q8;Q8;Servizi & Gestioni Italia S.R.L.;23012;Benzina;1.629;1;30/07/2025 01:05:30;Green
229104718;node;45.2926887;8.8534426;12179;Esso;IP;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;12179;Benzina;1.658;1;02/08/2025 06:00:58;Green
229105138;node;45.3169050;8.8806010;32414;Esso;Esso;Vett -Amo Snc di Vettorello Roberta Luisa e Amolaro Fabio Walter;32414;Benzina;1.686;1;02/08/2025 07:27:55;Green
229105313;node;45.2490477;8.7435361;17971;IP;IP;Gamma Petroli S.R.L.;17971;Benzina;1.649;1;29/07/2025 09:04:52;Green
229106765;node;45.1212220;8.7965240;12178;Esso;Esso;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;12178;Benzina;1.759;1;02/08/2025 06:00:58;Yellow
229106936;node;45.1134764;8.6690104;35002;Esso;IP;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;35002;Benzina;1.739;1;02/08/2025 06:00:59;Green
229120799;node;45.3205570;8.8719265;36257;IES;IES;Garbini S.P.A.;36257;Benzina;1.659;1;02/08/2025 00:19:29;Green
370462094;node;45.1920956;9.3877929;6853;Total Erg;;Cerutti S.N.C. di Cerutti Silvio & Rosangela;6853;Benzina;1.729;1;01/08/2025 10:35:21;Green
701747698;node;45.0252498;8.9138242;22417;Agip Eni;;Sirtam S.R.L.;22417;Benzina;1.684;1;30/07/2025 12:04:14;Green
1495472366;node;44.9552263;9.0104093;10041;;Centro Calor;Centro Calor S.R.L.;10041;Benzina;1.699;1;31/07/2025 08:56:02;Green
1559451480;node;45.0731130;9.3142463;31519;Vega Carburanti;;Vega Carburanti S.P.A.;31519;Benzina;1.709;1;30/07/2025 21:31:28;Green
2426578393;node;45.2517457;9.1982102;37665;Api-Ip;IP;Clerici Renzo;37665;Benzina;1.729;1;31/07/2025 11:49:37;Green
2481967673;node;45.3251958;9.2565233;31523;Vega;Vega;Vega Carburanti S.p.A.;31523;Benzina;1.679;1;31/07/2025 08:18:05;Green
2544062163;node;45.1162222;9.3517781;13091;Tamoil;;Carburanti Olii Lubrificanti Bronese S.R.L.;13091;Benzina;1.699;1;01/08/2025 14:37:10;Green
2662861247;node;45.1614289;9.3027145;19641;Esso;Distributore Esso;F.lli Boneschi S.N.C. di Boneschi Maurizio e Mario;19641;Benzina;1.699;1;02/08/2025 05:53:02;Green
3085305270;node;45.1594754;9.4230461;4593;;;Af Petrol S.R.L.;4593;Benzina;1.645;1;02/08/2025 00:14:03;Green
3600390500;node;45.1616312;9.2954779;8027;Tamoil;;Amatruda Giovanni;8027;Benzina;1.699;1;01/08/2025 15:05:05;Green
4551188939;node;45.0836630;9.3155674;3935;Eni;Eni;Stazione Agip di Pietralunga P. & F. S.N.C.;3935;Benzina;1.849;1;02/08/2025 00:25:01;Yellow
4690944200;node;44.9910050;9.3008073;33530;Keropetrol;;Braga Massimo;33530;Benzina;1.745;1;28/07/2025 09:49:10;Yellow
4835476005;node;45.2035130;9.1706181;10332;IP;Api-Ip;Gestioni Europa - Società Per Azioni;10332;Benzina;1.719;1;01/08/2025 09:05:10;Green
4880275593;node;45.2246930;9.2094233;32068;Pan Oil;;Ronzi Aldo;32068;Benzina;1.729;1;28/07/2025 08:08:44;Green
5145963869;node;44.8667960;9.2644734;29142;;;Distributore Carburante Corradi Matteo;29142;Benzina;1.799;1;28/07/2025 14:18:11;Yellow
5851831313;node;45.3138850;9.0242722;8408;Eni;Eni;Bonizzoni S.N.C. di Bonizzoni Marco e C.;8408;Benzina;1.749;1;02/08/2025 07:26:15;Yellow
5851831517;node;45.3089377;9.0164478;6454;Q8;Q8;Servizi & Gestioni Italia Srl;6454;Benzina;1.669;1;02/08/2025 01:07:14;Green
5851834988;node;45.2102344;9.3528253;37247;Tamoil;Tamoil;T.D.M. S.R.L.;37247;Benzina;1.689;1;01/08/2025 12:09:00;Green
5851835031;node;45.1726237;9.3162332;36918;Europam;;Europam S.P.A.;36918;Benzina;1.697;1;01/08/2025 15:20:57;Green
5851837555;node;45.1505917;9.1202134;31524;Vega Carburanti;Vega Carburanti;Vega Carburanti S.P.A.;31524;Benzina;1.699;1;30/07/2025 21:31:34;Green
5851842790;node;44.9991188;9.0219094;22647;Esso;Esso;Pisello Giuseppe Fabrizio;22647;Benzina;1.639;1;30/07/2025 10:07:02;Green
5851842812;node;45.2620871;8.8548612;22393;Tamoil;;F.lli Zerbi di Zerbi Davide e Zerbi Cesare S.N.C.;22393;Benzina;1.829;0;30/07/2025 00:03:30;Yellow
5851844637;node;45.1976820;9.3184280;15103;Api-Ip;;Capelletti Maurizio;15103;Benzina;1.699;1;02/08/2025 07:36:52;Green
5851845218;node;45.2796031;8.6042503;13643;Eni;Eni;Ferrari Claudio;13643;Benzina;1.759;1;02/08/2025 07:40:15;Yellow
5851845661;node;45.0603024;9.3031321;10565;Q8;;F.lli Cassi di Cassi Maurizio Antonio e Cassi Gabriele Marco S.N.C.;10565;Benzina;1.709;1;01/08/2025 08:01:19;Green
5853342997;node;45.2308335;9.0758369;9004;Indipendente;Indipendente;Ambrogio Moro S.P.A.;9004;Benzina;1.679;1;02/08/2025 00:19:32;Green
5853343452;node;45.2062936;9.0118841;37442;;;Verri Cristiano;37442;Benzina;1.725;1;29/07/2025 19:10:39;Green
28411635;way;45.2008877;9.1943867;31522;Vega;Vega;Vega Carburanti S.P.A.;31522;Benzina;1.709;1;30/07/2025 21:29:23;Green
1068903167;way;45.2637249;8.7611921;29254;;;Dam Sas Carburanti di Cutrona G. e C.;29254;Benzina;1.649;1;02/08/2025 05:32:10;Green
