@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
5851845563;node;45.5267583;10.2040399;11430;Q8;Q8;Amidani Sciascia;;;;;;Blue
5851845565;node;45.9253263;8.4602888;11413;IP;IP;Totalerg di Rocco Massimo;;;;;;Blue
5851845566;node;40.5027636;17.6340194;11402;Agip Eni;;Patisso Maria;;;;;;Blue
5851845569;node;41.9159929;12.4940517;11393;IP;IP;Galluzzo Mauro;;;;;;Blue
5851845570;node;44.6914355;12.1985820;11378;Bertelli Carburanti;;Bertelli Walter e Rolando - Carburanti - S.p.A.;;;;;;Blue
5851845571;node;44.7368944;11.2654924;11377;Bertelli Carburanti;;Bertelli Walter e Rolando - Carburanti - S.p.A.;;;;;;Blue
5851845583;node;40.8538693;14.8703867;11282;Esso;;De Simone Pietro;;;;;;Blue
5851845587;node;44.2419274;10.1309614;11242;Esso;Esso;T.T. di Turcolini Francesco e Tramontana Amedeo S.N.C.;;;;;;Blue
5851845589;node;45.8611518;11.8980143;11239;Som/Omv;;Signor Luca;;;;;;Blue
5851845590;node;41.0886336;14.2535685;11238;IP;IP;F.B. Oil S.A.S. di Angelo Bonavolonta' e C.;;;;;;Blue
5851845592;node;43.1135422;12.7881853;11231;Api-Ip;;Bontempi Rita;;;;;;Blue
5851845593;node;44.7427367;10.5040959;11230;Total Erg;;Sassi Morena;;;;;;Blue
5851845595;node;42.5559886;12.6378386;11204;IP;IP;Ottavi Moreno;;;;;;Blue
5851845601;node;44.8432145;10.7202342;11154;Ego;;Veneri Antonio;;;;;;Blue
5851845604;node;44.7846158;10.8604008;11148;IP;IP;Max Sim Car di Massimiliano Roveri & C. Snc;;;;;;Blue
5851845620;node;45.3663471;10.4394673;11059;Agip Eni;;Orsini & Paghera S.N.C. di Orsini Giuseppe & C.;;;;;;Blue
5851845621;node;42.9813497;12.4162232;11055;Api-Ip;IP Gruppo API;Boco Massimiliano;;;;;;Blue
5851845623;node;45.4787484;10.0464966;11048;Agip Eni;;Casagrande & C. S.n.c.;;;;;;Blue
5851845624;node;44.2308473;10.6516721;11040;Api-Ip;;Bonfiglioli Deanna;;;;;;Blue
5851845626;node;40.6995216;14.8696169;11002;Tamoil;Tamoil;Alfani Giuseppe;;;;;;Blue
5851845630;node;42.4186353;11.8709343;10944;Tamoil;;Tosi Sandro;;;;;;Blue
5851845633;node;39.1581219;8.7407921;10881;Q8;;Pilloni Antonello;;;;;;Blue
5851845634;node;43.2480686;11.2227881;10855;Tamoil;Tamoil;Crini Marcello;;;;;;Blue
5851845643;node;44.6073078;10.4138348;10782;Eni;Eni;Lanzi Laurino;;;;;;Blue
5851845644;node;43.5024818;11.6131979;10776;Shell;Shell;M.P. di Meoni Roberto & C. S.N.C.;;;;;;Blue
5851845647;node;41.1755825;14.0173571;10757;Repsol;Repsol;Palmieri Domenico Francesco;;;;;;Blue
5851845652;node;40.3978727;17.2594303;10649;IP;IP;Lu.Car S.R.L.;;;;;;Blue
5851845659;node;44.8881048;11.4164445;10572;AF Petroli;;A.F. Petroli S.p.A.;;;;;;Blue
5851845660;node;45.4512965;9.2411843;10569;Eni;Eni;Magnani Pieremilio;;;;;;Blue
5851845662;node;42.5726840;12.9564106;10560;IP;IP;Ciavatta Service di Ciavatta Tommaso & C. S.N.C.;;;;;;Blue
5851845664;node;41.9353016;12.5366791;10556;IP;IP;D.R.P. 2010 S.A.S. di Di Renzo Marina e Panarinfo Francesco;;;;;;Blue
5851845665;node;39.2325218;9.0953491;10554;Tamoil;;Mario Casula Valeri M.C.V. S.R.L.;;;;;;Blue
5851845666;node;41.0492041;17.1126089;10547;IP;IP;;;;;;;Blue
5851845667;node;45.2190836;10.2460492;10519;Tamoil;Tamoil;Distributore Tamoil-Gommista 4 Ruote Zorzi Daniele;;;;;;Blue
5851845671;node;45.1346513;10.0130400;10393;Keropetrol;Keropetrol;Autolavaggio A.C.I. di Malinverno e Corbari Società In Nome Collettivo;;;;;;Blue
5851845675;node;44.3074925;10.7326813;10375;Api-Ip;;Bazzani S.N.C. di Bazzani Maurizio & C.;;;;;;Blue
5851845676;node;44.2562224;11.5558147;10358;Api-Ip;;Conti Gianni;;;;;;Blue
5851845678;node;37.3937865;13.5323587;10302;Esso;Esso;Angelo Cuffaro S.R.L.;;;;;;Blue
5851845679;node;37.3970736;13.5348089;10299;Esso;Esso;Cuffaro Angelo;;;;;;Blue
5851845680;node;41.2491513;15.3383861;10283;Total Erg;;Nuova Fuel Calor S.R.L.;;;;;;Blue
5851845684;node;40.4515185;15.6653789;10247;IES;IES;Md2 Carburanti di Muro Domenico;;;;;;Blue
5851845690;node;39.2734732;9.0788805;10204;Eni;Eni;Giacomo Scrocov & C. S.A.S.;;;;;;Blue
5851845692;node;39.1619447;8.5253531;10170;Retitalia;;Cannas Federica;;;;;;Blue
5851845694;node;45.3597817;10.9569996;10126;Agip Eni;Eni;Bertoli S.N.C. di Bertoli Carlino e C.;;;;;;Blue
5851845695;node;44.1304146;12.0595384;10123;Ego;Ego;Atena S.R.L.;;;;;;Blue
5851845700;node;41.6286673;13.2510500;10081;Eni;Eni;Schietroma Angela & C. - S.A.S.;;;;;;Blue
5851845702;node;40.5278425;14.9981511;10073;Q8;Q8;Servizi & Gestioni Italia S.R.L.;;;;;;Blue
5851845705;node;41.8372624;12.5512242;10017;Api-Ip;;Santosuosso Angelo;;;;;;Blue
5851845706;node;45.7409631;9.6197743;10005;Api-Ip;;Bellini Roberto;;;;;;Blue
5853342989;node;40.1336364;15.7638413;9948;;;Mavidil - S.R.L.;;;;;;Blue
5853342990;node;45.7477901;11.6969042;9942;;;Minchio Pietro;;;;;;Blue
5853342991;node;44.1692980;11.0864868;9818;;;Fontana Sisto;;;;;;Blue
5853342992;node;42.1212914;14.3029883;9673;;;Di Santo Sabina;;;;;;Blue
5853342994;node;45.8480003;9.3702530;9654;;Eurogas;F.lli Mauri S.N.C. di Mauri Fabio e Alberto;;;;;;Blue
5853342995;node;44.2881153;11.1118325;9594;;Carburanti Vico;Zappoli Lodovico;;;;;;Blue
5853342996;node;41.0634917;14.2825719;9079;FDM Carburanti;FDM Carburanti;F.D.M. Carburanti S.R.L.;;;;;;Blue
5853343000;node;45.7817286;10.0201334;8915;;;Gualeni Stefano;;;;;;Blue
5853343004;node;44.2009127;10.6163174;8703;;;Bortolotti Silvano & C. S.A.S.;;;;;;Blue
5853343012;node;45.9373432;10.2507243;7893;;;Damioli Elena;;;;;;Blue
5853343016;node;45.5790257;8.0510218;7371;;;Stazione di Servizio Aci di Ivano Santolin;;;;;;Blue
5853343030;node;46.1608210;9.8681098;6051;;;Fortini Stefano;;;;;;Blue
5853343032;node;40.8550171;14.5394370;5654;;;C.A.M. S.A.S. di Rainone Michele & C.;;;;;;Blue
5853343039;node;41.7066937;13.5713178;5198;;;Extragas - S.R.L.;;;;;;Blue
5853343042;node;44.9295838;9.9006021;5006;;;Metano Fiorenzuola S.R.L.;;;;;;Blue
5853343044;node;37.3480833;13.6162548;4631;;;A.Nuara e Figli S.R.L.;;;;;;Blue
5853343051;node;42.1214465;14.4786253;41261;;;X Fuel S.R.L.;;;;;;Blue
5853343057;node;37.9315347;14.3507463;41186;;;Oieni Benedetto &C S.A.S.;;;;;;Blue
5853343058;node;40.3837192;15.0140693;41164;;General Petroleum;Satic di Salvatore Michele;;;;;;Blue
5853343059;node;41.3076200;15.4901024;41151;;;Aurora Carburanti di Biondillo Luigi;;;;;;Blue
5853343071;node;38.1887736;13.3059690;41018;;Fuel;Sampino Antonino;;;;;;Blue
5853343074;node;40.8500722;14.2736031;40989;;Aquila Petroli;Spinelli Gianluca;;;;;;Blue
5853343076;node;40.8489102;14.3252878;40985;IP;ip;Carburanti Prisco Umberto;;;;;;Blue
5853343077;node;40.9337335;14.6491072;40973;;;Sacol - Società a Responsabilità Limitata;;;;;;Blue
5853343078;node;41.8772978;12.5723994;40970;;;Wilman - S.A.S. di Salzillo Charles Salvatore Maria & C.;;;;;;Blue
5853343079;node;42.1052289;13.8195198;40968;;;Opera Fuel S.R.L.;;;;;;Blue
5853343082;node;41.0304220;16.8488498;40935;;De Sal;De Salvatore Giuseppe;;;;;;Blue
5853343084;node;39.9472723;18.0853871;40900;;;Rahino' Elio;;;;;;Blue
5853343085;node;40.7615240;14.5190120;40892;;;Eurogas - S.A.S. - di Negrone Rosa & C.;;;;;;Blue
5853343086;node;38.1710689;12.7341333;40879;Esso;Esso;S.G. Petroli di Giuliano Salvatore;;;;;;Blue
5853343088;node;44.9938975;12.0382583;40823;;;2P Srl;;;;;;Blue
5853343094;node;40.0561141;15.4927383;40758;;Carburanti Magliano;Guerriero Giovanni;;;;;;Blue
5853343095;node;40.2707338;18.1790362;40752;;;Stazione di Servizio di Bruno David;;;;;;Blue
5853343096;node;40.5829421;16.3531409;40745;;;Iacovino Rocco;;;;;;Blue
5853343097;node;39.8598244;18.2992504;40721;;;Nuzzello Nicola;;;;;;Blue
5853343104;node;40.4500055;15.5176654;40610;;;Opera Fuel S.R.L.;;;;;;Blue
5853343105;node;42.2073320;14.5947220;40604;;Opera Fuel;Opera Fuel S.R.L.;;;;;;Blue
5853343106;node;41.9758508;12.8674465;40560;;;Penta Petroli Srl;;;;;;Blue
5853343108;node;40.8236726;15.7046270;40529;;;S. N. S.R.L.;;;;;;Blue
5853343110;node;40.8498854;14.2890313;40517;;;New Service S.R.L.;;;;;;Blue
5853343111;node;39.6408748;16.3552281;40515;;;Tr Petroli Società a Responsabilità Limitata Semplificata;;;;;;Blue
5853343114;node;40.8432129;14.2860219;40473;Esso;Esso GPL;Zamboni Marco;;;;;;Blue
5853343115;node;41.6790979;13.5572657;40442;;New Energy;New Energy S.R.L.;;;;;;Blue
5853343116;node;41.6587416;13.3440918;40441;;;New Energy S.R.L.;;;;;;Blue
5853343120;node;41.0452839;14.2828569;40301;;Massaro Carburanti;Massaro Costruzioni S.R.L.;;;;;;Blue
5853343123;node;44.4001346;11.8953739;4024;Vega;;F.A.P. Società a Responsabilità Limitata;;;;;;Blue
5853343124;node;40.8826612;14.5297354;40209;;;Sirius Petroli S.R.L.;;;;;;Blue
5853343125;node;41.0283906;14.1982236;40191;;Faboil Casaluce;Sweet Fruit S.A.S. di Patrizia di Nardo & C.;;;;;;Blue
5853343127;node;42.4958306;12.0082860;40174;;;Amodio Salvatore;;;;;;Blue
5853343128;node;44.3903874;11.8223499;40154;Robgas;Robgas;Fuel Point S.R.L.;;;;;;Blue
5853343129;node;42.6153301;12.7773759;40138;;;Victoria Carburanti Società a Responsabilità Limitata;;;;;;Blue
5853343130;node;39.3996650;8.4023656;40136;;;Eredi Galotto Anna di Andreuccetti Mauro & C. S.A.S.;;;;;;Blue
5853343131;node;38.1088714;13.3599582;40103;;;Genovese Carmelo;;;;;;Blue
5853343133;node;41.0260312;14.6173887;40067;SP Fuel;SP Fuel - Cervinara San Marciano;Siryus S.A.S. di Pierpaolo Sirico & C.;;;;;;Blue
5853343134;node;42.3910266;14.1594654;40039;;Sozio;Ditta Sozio di Pasquale & Innocenzo Sozio S.N.C.;;;;;;Blue
5853343135;node;44.8437794;12.1068753;40034;;;Ristic Krstinka;;;;;;Blue
5853343137;node;45.7274128;11.6211462;39962;;;Celi Elisa;;;;;;Blue
5853343142;node;41.5054316;14.0604072;39931;;;Penta Petroli S.R.L.;;;;;;Blue
5853343147;node;38.1433451;13.3400131;39900;;;Gei Carburanti Sas di Di Cristina Natale & C.;;;;;;Blue
5853343148;node;38.1229187;13.3724987;39888;;Nautilus fuels;Nautilus Marine S.R.L.;;;;;;Blue
5853343150;node;41.8629833;12.4471624;39864;;;Termo Trading Petroli S.R.L.;;;;;;Blue
5853343153;node;41.9072295;12.4465967;39832;;iperoil;Gestioni Carburanti Riunite Società a Responsabilità Limitata Semplificata;;;;;;Blue
5853343156;node;43.6925000;10.8607484;39794;Esso;Esso;;;;;;;Blue
5853343158;node;40.9232602;14.5261929;39746;;Indipendente;D.A.R.M. Petroli S.R.L.;;;;;;Blue
5853343159;node;45.5065868;7.5504437;39722;;;Comune di Ronco Canavese;;;;;;Blue
5853343166;node;44.7648296;8.8614636;39596;;;Ah.Ib di Ahmed Ibrahim Hassan;;;;;;Blue
